ID,실거래명,동,시군구코드,K-apt코드,K-apt명,실거래준공,K-apt준공,년도차이,세대수,주소,검증결과,비고
1739,"대전목동더샵","목동",30140,A10023786,"대전목동더샵리슈빌",2010,2022,12,993,"대전광역시 중구 목동 1-95 대전목동더샵리슈빌",검토필요,
6304,"대곡청구","대곡동",27290,A70431003,"대곡청구제네스",1992,2004,12,275,"대구광역시 달서구 대곡동 1031 대곡청구제네스",검토필요,
10776,"동아","석남동",28260,A40482301,"석남 신동아 아파트",1984,1996,12,190,"인천광역시 서구 석남동 486-1 석남 신동아 아파트",검토필요,
12284,"주례","주례동",26530,A61776303,"주례럭키아파트",1975,1987,12,1963,"부산광역시 사상구 주례동 595 주례럭키아파트",검토필요,
12312,"한일","미아동",11305,A14272303,"한일유앤아이",1990,2002,12,384,"서울특별시 강북구 미아동 1355 한일유앤아이",검토필요,
12422,"동아","대명동",27200,A70575402,"동아대덕아파트",1980,1992,12,210,"대구광역시 남구 대명동 1220-24 동아대덕아파트",검토필요,
12487,"삼성","신림동",11620,A15101506,"삼성산주공3단지",2012,2000,12,1482,"서울특별시 관악구 신림동 1714 삼성산주공3단지",검토필요,
12643,"미진","옥포동",48310,A65690402,"미진타워팰리스",1994,2006,12,228,"경상남도 거제시 옥포동 556-11 미진타워팰리스",검토필요,
12903,"대신","대신동",27110,A10028088,"대신센트럴자이",2003,2015,12,1147,"대구광역시 중구 대신동 115-30 대신센트럴자이",검토필요,
168,"주공","소사본동",41194,A42281205,"소사주공",2006,1995,11,1210,"경기도 부천소사구 소사본동 400-8 소사주공",검토필요,
11065,"은행대우","은행동",41390,A42983912,"은행대우3차2단지",1987,1998,11,662,"경기도 시흥시 은행동 550 은행대우3차2단지",검토필요,
12362,"태안","태안읍 동문리",44825,A35790508,"태안동문주공1단지",1989,2000,11,566,"충청남도 태안군 태안읍 동문리 92-1 태안동문주공1단지",검토필요,
